design,logic_levels,logic_levels_noinv,delay_ns,slack_ns,cell_area
addr_set04,0,0,5.0,,0.0
addr_set06,0,0,5.0,,0.0
addr_set08,0,0,5.0,,0.0
addr_set10,0,0,5.0,,0.0
agemtx16_find,18,16,10.39,,4713.649845
agemtx16_full,25,22,13.05,,9876.889952
agemtx16_update,6,4,8.15,,10067.700069
agemtx2_find,2,1,5.55,,32.51
agemtx2_full,3,3,5.94,,97.530001
agemtx2_update,3,2,5.75,,130.040001
agemtx32_find,28,26,13.63,,18052.299404
agemtx32_full,37,29,14.98,,38613.37982
agemtx32_update,5,2,9.06,,41061.580311
agemtx4_find,4,3,6.34,,249.239994
agemtx4_full,10,6,7.32,,812.720005
agemtx4_update,5,3,6.44,,834.440006
agemtx8_find,8,7,7.54,,1208.219965
agemtx8_full,12,9,9.33,,2665.689976
agemtx8_update,5,3,7.81,,2552.160007
cam_A_16w16,7,5,7.6,,16654.039921
cam_A_16w32,7,5,7.6,,32245.91983
cam_A_16w48,7,5,7.59,,47328.959625
cam_A_16w8,4,3,7.55,,7541.279968
cam_A_2w16,7,5,7.6,,2091.23999
cam_A_2w32,7,5,7.6,,4030.739979
cam_A_2w48,7,5,7.59,,5916.119953
cam_A_2w8,4,3,7.39,,1018.539997
cam_A_32w32,7,5,7.6,,64491.839661
cam_A_4w16,7,5,7.6,,4171.63998
cam_A_4w32,7,5,7.6,,8061.479958
cam_A_4w48,7,5,7.59,,11832.239906
cam_A_4w8,4,3,6.81,,1950.359993
cam_A_64w32,7,5,7.6,,128983.679321
cam_A_8w16,7,5,7.6,,8354.119961
cam_A_8w32,7,5,7.6,,16122.959915
cam_A_8w48,7,5,7.59,,23664.479813
cam_A_8w8,4,3,7.05,,3813.999985
cam_B_16w16,9,7,8.43,,16897.839912
cam_B_16w32,9,7,8.43,,32489.719822
cam_B_16w48,9,7,8.42,,47572.759617
cam_B_16w8,6,5,7.58,,7958.519962
cam_B_2w16,8,6,8.04,,2118.32999
cam_B_2w32,8,6,8.03,,4057.829979
cam_B_2w48,8,6,8.02,,5943.209953
cam_B_2w8,5,4,7.36,,991.429996
cam_B_4w16,8,6,8.16,,4220.399979
cam_B_4w32,8,6,8.16,,8110.239956
cam_B_4w48,8,6,8.15,,11880.999905
cam_B_4w8,5,4,7.31,,1977.439991
cam_B_8w16,9,7,8.42,,8478.729958
cam_B_8w32,9,7,8.42,,16247.569912
cam_B_8w48,9,7,8.41,,23789.089809
cam_B_8w8,6,5,7.41,,3981.969982
cam_C1_16w32,27,24,13.16,,34483.679779
cam_C1_2w32,9,6,8.05,,4090.339979
cam_C1_32w32,43,41,15.0,,69465.729565
cam_C1_4w32,9,7,8.37,,8234.869955
cam_C1_8w32,17,14,11.03,,17092.829889
cam_C2_16w32,16,13,9.92,,33204.989813
cam_C2_2w32,9,6,8.05,,4090.339979
cam_C2_32w32,23,20,12.09,,66447.869621
cam_C2_4w32,11,7,8.42,,8251.119959
cam_C2_8w32,12,9,8.9,,16556.429909
cam_C3_16w32,22,17,13.14,,33199.519812
cam_C3_2w32,9,6,8.05,,4090.339979
cam_C3_32w32,28,20,14.99,,66767.459625
cam_C3_4w32,12,8,9.13,,8240.289955
cam_C3_8w32,16,11,11.03,,16594.349909
cam_D_16w32_d64,29,22,14.93,,72505.579811
cam_D_2w32_d64,11,7,9.37,,8099.840006
cam_D_4w32_d64,15,9,10.1,,17277.269999
cam_D_8w32_d64,27,18,14.18,,34982.429844
cam_E2_16w32,5,4,7.34,,30858.399811
cam_E2_2w32,5,4,6.66,,4139.179981
cam_E2_32w32,6,4,8.49,,62237.119629
cam_E2_4w32,5,4,6.89,,7931.479958
cam_E2_64w32,6,4,8.56,,124300.799255
cam_E2_8w32,5,4,7.35,,15516.07991
cam_E3_16w32,7,5,7.6,,32245.91983
cam_E3_4w32,7,5,7.6,,8061.479958
cam_E3_8w32,7,5,7.6,,16122.959915
counter16_find,16,12,14.73,,70215.879642
counter16_update,6,4,6.63,,3001.620018
counter32_find,29,25,15.0,,318663.079506
counter32_update,5,3,6.78,,6019.550034
